geonameid,asciiname,countrycode,latitude,longitude,feature code,population
3836620,San Ramon de la Nueva Oran,AR,-23.13705,-64.32426,PPL,74059
3836669,San Rafael,AR,-34.61772,-68.33007,PPLA2,109163
3836772,San Pedro de Jujuy,AR,-24.23127,-64.86614,PPLA2,58430
3836846,San Nicolas de los Arroyos,AR,-33.33425,-60.2108,PPLA2,127742
3836873,San Miguel de Tucuman,AR,-26.82414,-65.2226,PPLA,781023
3836951,San Martin de los Andes,AR,-40.15789,-71.35337,PPL,23519
3836992,San Martin,AR,-33.08103,-68.46814,PPLA2,82549
3837056,San Luis,AR,-33.29501,-66.33563,PPLA,183982
3837124,San Justo,AR,-30.78913,-60.59189,PPLA2,21809
3837213,San Juan,AR,-31.5375,-68.53639,PPLA,447048
3837240,San Jose de Jachal,AR,-30.24057,-68.74693,PPLA2,21018
3837441,San Jorge,AR,-31.89618,-61.85984,PPL,16873
3837675,San Francisco,AR,-31.42797,-62.08266,PPLA2,59062
3837702,San Fernando del Valle de Catamarca,AR,-28.46957,-65.78524,PPLA,188812
3837980,San Antonio Oeste,AR,-40.73193,-64.94769,PPLA2,16966
3838233,Salta,AR,-24.7859,-65.41166,PPLA,512686
3838506,Rufino,AR,-34.26827,-62.71262,PPL,18361
3838583,Rosario,AR,-32.94682,-60.63932,PPLA2,1173533
3838793,Rio Tercero,AR,-32.17301,-64.11405,PPL,53389
3838797,Rio Segundo,AR,-31.6526,-63.9099,PPL,18155
3838854,Rio Grande,AR,-53.78769,-67.70946,PPLA2,52681
3838859,Rio Gallegos,AR,-51.62261,-69.21813,PPLA,85700
3838874,Rio Cuarto,AR,-33.13067,-64.34992,PPLA2,153757
3838902,Rio Ceballos,AR,-31.16486,-64.32241,PPL,16632
3839307,Rawson,AR,-43.30016,-65.10228,PPLA,26335
3839479,Rafaela,AR,-31.25033,-61.4867,PPLA2,88713
3839490,Quitilipi,AR,-26.86913,-60.21683,PPLA2,32083
3839982,Punta Alta,AR,-38.87588,-62.07359,PPLA2,57209
3840092,Puerto Madryn,AR,-42.7692,-65.03851,PPLA2,64555
3840300,Presidencia Roque Saenz Pena,AR,-26.78522,-60.43876,PPLA2,81879
3840860,Pocito,AR,-31.68333,-68.58333,PPL,40969
3840885,Plottier,AR,-38.96667,-68.23333,PPL,25186
3841490,Pergamino,AR,-33.88995,-60.57357,PPLA2,87652
3841500,Perez,AR,-32.99835,-60.76791,PPL,24436
3841956,Parana,AR,-31.73271,-60.52897,PPLA,262295
3842190,Palpala,AR,-24.25647,-65.21163,PPLA2,48199
3842670,Olavarria,AR,-36.89272,-60.32254,PPLA2,86320
3842881,Nueve de Julio,AR,-35.44437,-60.88313,PPLA2,34718
3843123,Neuquen,AR,-38.95161,-68.0591,PPLA,242092
3843619,Morteros,AR,-30.71164,-61.99862,PPL,15129
3843803,Monteros,AR,-27.16741,-65.49832,PPLA2,23771
3844421,Mendoza,AR,-32.89084,-68.82717,PPLA,876884
3844899,Marcos Juarez,AR,-32.6978,-62.10672,PPLA2,24226
3845330,Machagai,AR,-26.92614,-60.04955,PPLA2,28070
3846864,Lincoln,AR,-34.86649,-61.5302,PPLA2,41808
3846915,Libertador General San Martin,AR,-23.80644,-64.78757,PPLA2,49267
3848687,Las Brenas,AR,-27.08966,-61.08161,PPLA2,26955
3848950,La Rioja,AR,-29.41105,-66.85067,PPLA,162620
3851331,La Falda,AR,-31.08841,-64.48987,PPL,15112
3852374,La Calera,AR,-31.34377,-64.33529,PPL,24796
3852468,Laboulaye,AR,-34.12662,-63.39119,PPLA2,19908
3853354,Junin,AR,-34.58382,-60.94332,PPLA2,85007
3853491,Joaquin V. Gonzalez,AR,-25.11364,-64.12628,PPL,19185
3853510,Jesus Maria,AR,-30.98153,-64.09424,PPLA2,26825
3854895,Granadero Baigorria,AR,-32.85683,-60.71754,PPL,32427
3854985,Gobernador Galvez,AR,-33.03016,-60.64045,PPL,74650
3855041,General Villegas,AR,-35.03285,-63.01252,PPLA2,16270
3855065,General Roca,AR,-39.03333,-67.58333,PPL,73212
3855074,General Pinedo,AR,-27.31667,-61.28333,PPLA2,15741
3855075,General Pico,AR,-35.65662,-63.75682,PPLA2,57029
3855116,General Mosconi,AR,-22.59588,-63.81255,PPL,19811
3855244,Galvez,AR,-32.02927,-61.22103,PPL,18374
3855554,Firmat,AR,-33.45937,-61.4832,PPL,18294
3855666,Famailla,AR,-27.05413,-65.40329,PPLA2,30951
3855974,Esquel,AR,-42.91147,-71.31947,PPL,28486
3856022,Esperanza,AR,-31.4488,-60.93173,PPLA2,35885
3856231,Embarcacion,AR,-23.21003,-64.09965,PPL,23961
3856235,Embalse,AR,-32.18,-64.41809,PPL,15900
3858765,El Bolson,AR,-41.96051,-71.53336,PPL,15537
3859384,Diamante,AR,-32.06641,-60.63837,PPLA2,19545
3859512,Dean Funes,AR,-30.42036,-64.34984,PPLA2,20164
3859552,Cutral-Co,AR,-38.93424,-69.23052,PPL,47380
3859828,Cruz del Eje,AR,-30.72644,-64.80387,PPLA2,28166
3859904,Crespo,AR,-32.02873,-60.30658,PPL,18296
